,count,mean,std,min,25%,50%,75%,max,range
ram,2000.0,2124.213,1084.7320436099494,256.0,1207.5,2146.5,3064.5,3998.0,3742.0
px_height,2000.0,645.108,443.7808108064386,0.0,282.75,564.0,947.25,1960.0,1960.0
px_width,2000.0,1251.5155,432.19944694633796,500.0,874.75,1247.0,1633.0,1998.0,1498.0
battery_power,2000.0,1238.5185,439.41820608353135,501.0,851.75,1226.0,1615.25,1998.0,1497.0
mobile_wt,2000.0,140.249,35.39965489638835,80.0,109.0,141.0,170.0,200.0,120.0
int_memory,2000.0,32.0465,18.145714955206856,2.0,16.0,32.0,48.0,64.0,62.0
pc,2000.0,9.9165,6.06431494134778,0.0,5.0,10.0,15.0,20.0,20.0
fc,2000.0,4.3095,4.341443747983894,0.0,1.0,3.0,7.0,19.0,19.0
sc_w,2000.0,5.767,4.3563976058264045,0.0,2.0,5.0,9.0,18.0,18.0
talk_time,2000.0,11.011,5.463955197766688,2.0,6.0,11.0,16.0,20.0,18.0
sc_h,2000.0,12.3065,4.213245004356306,5.0,9.0,12.0,16.0,19.0,14.0
n_cores,2000.0,4.5205,2.2878367180426604,1.0,3.0,4.0,7.0,8.0,7.0
price_range,2000.0,1.5,1.118313602106461,0.0,0.75,1.5,2.25,3.0,3.0
clock_speed,2000.0,1.52225,0.8160042088950689,0.5,0.7,1.5,2.2,3.0,2.5
blue,2000.0,0.495,0.5001000400170075,0.0,0.0,0.0,1.0,1.0,1.0
dual_sim,2000.0,0.5095,0.500034766175005,0.0,0.0,1.0,1.0,1.0,1.0
four_g,2000.0,0.5215,0.49966246736236386,0.0,0.0,1.0,1.0,1.0,1.0
touch_screen,2000.0,0.503,0.500116044562674,0.0,0.0,1.0,1.0,1.0,1.0
three_g,2000.0,0.7615,0.42627292231873126,0.0,1.0,1.0,1.0,1.0,1.0
wifi,2000.0,0.507,0.5000760322381083,0.0,0.0,1.0,1.0,1.0,1.0
m_dep,2000.0,0.50175,0.2884155496235117,0.1,0.2,0.5,0.8,1.0,0.9
